focal_species,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg
Ai,0.03233333333333333,0.182,0.1625,0.13199999999999998,0.2035,0.147,0.1235,0.164,0.0,0.0,0.16999999999999998,0.2515,0.1825,0.113,0.10200000000000001,0.22749999999999998
Ac,0.769,0.04000000000000001,0.0765,0.22799999999999998,0.1635,0.2045,0.22749999999999998,0.2055,0.2935,0.563,0.769,0.055999999999999994,0.4225,0.1295,0.0,0.11399999999999999
Bfi,0.5153333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.229,0.0,0.0,0.0,0.03249999999999999,0.0,0.0,0.024499999999999994
Bf,0.5126666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.159,0.049,0.33699999999999997,0.0,0.376,0.0,0.0,0.035500000000000004
Bt,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.11649999999999999,0.3305,0.295,0.0,0.01899999999999999,0.0315,0.0,0.0,0.037500000000000006
Bu,0.5870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.3615,0.0335,0.486,0.010499999999999995,0.385,0.0,0.0,0.019500000000000003
Bx,0.24066666666666667,0.012499999999999997,0.0,0.0,0.0,0.0,0.0,0.1445,0.27949999999999997,0.208,0.0,0.011499999999999996,0.035,0.0,0.0,0.0475
Ba,0.7953333333333333,0.049,0.013999999999999999,0.027999999999999997,0.109,0.0,0.057499999999999996,0.1195,0.3115,0.188,0.798,0.0,0.654,0.10149999999999999,0.0,0.06649999999999999
Csp,0.5305,0.0805,0.126,0.205,0.14950000000000002,0.32499999999999996,0.09999999999999999,0.09699999999999999,0.0,0.21949999999999997,0.15549999999999997,0.102,0.353,0.134,0.23200000000000004,0.013999999999999999
Dl,0.20850000000000002,0.07700000000000001,0.127,0.1295,0.11049999999999999,0.0,0.07799999999999999,0.1235,0.0,0.0,0.08800000000000001,0.15749999999999997,0.0,0.1955,0.0,0.046999999999999986
Ls,0.237,0.0,0.10149999999999999,0.01949999999999999,0.031,0.191,0.03299999999999999,0.12249999999999998,0.0,0.0,0.0,0.0,0.5135000000000001,0.23099999999999998,0.0,0.010999999999999996
Mf,0.505,0.053500000000000006,0.15000000000000002,0.08049999999999999,0.0,0.0985,0.1855,0.16699999999999998,0.26,0.45299999999999996,0.5209999999999999,0.027499999999999997,0.43,0.3505,0.23700000000000004,0.1895
Pm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bd,0.115,0.013499999999999998,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.22649999999999998,0.0,0.04799999999999999,0.0,0.0495,0.0,0.0,0.017
Bv,0.42200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.2295,0.0,0.5874999999999999,0.009499999999999995,0.3555,0.0,0.0,0.040499999999999994
Rg,0.8764999999999998,0.1745,0.1665,0.09949999999999999,0.1855,0.039999999999999994,0.2885,0.1855,0.252,0.6315,0.41100000000000003,0.254,0.44649999999999995,0.22049999999999997,0.0,0.05449999999999999
